MÃŠS,PRECO_MEDIO_REVENDA
2013-01,2.824
2013-02,2.923
2013-03,2.916
2013-04,2.912
2013-05,2.905
2013-06,2.903
2013-07,2.883
2013-08,2.875
2013-09,2.870
2013-10,2.860
2013-11,2.860
2013-12,2.959
2014-01,2.976
2014-02,2.963
2014-03,2.986
2014-04,2.988
2014-05,2.978
2014-06,2.952
2014-07,2.969
2014-08,2.969
2014-09,2.965
2014-10,2.949
2014-11,2.993
2014-12,3.028
2015-01,3.025
2015-02,3.304
2015-03,3.353
2015-04,3.373
2015-05,3.358
2015-06,3.366
2015-07,3.350
2015-08,3.340
2015-09,3.251
2015-10,3.500
2015-11,3.593
2015-12,3.662
2016-01,3.707
2016-02,3.741
2016-03,3.748
2016-04,3.740
2016-05,3.685
2016-06,3.683
2016-07,3.681
2016-08,3.684
2016-09,3.663
2016-10,3.715
2016-11,3.730
2016-12,3.782
2017-01,3.850
2017-02,3.827
2017-03,3.752
2017-04,3.700
2017-05,3.696
2017-06,3.618
2017-07,3.661
2017-08,3.871
2017-09,3.959
2017-10,3.989
2017-11,4.085
2017-12,4.176
2018-01,4.393
2018-02,4.438
2018-03,4.440
2018-04,4.486
2018-05,4.569
2018-06,4.860
2018-07,4.794
2018-08,4.735
2018-09,4.906
2018-10,4.957
2018-11,4.837
2018-12,4.628
2019-01,4.555
2019-02,4.509
2019-03,4.622
2019-04,4.716
2019-05,4.839
2019-06,4.744
2019-07,4.633
2019-08,4.579
2019-09,4.580
2019-10,4.667
2019-11,4.693
2019-12,4.790
2020-01,4.809
2020-02,4.776
2020-03,4.683
2020-04,4.273
2020-05,4.016
2020-06,4.104
2020-07,4.256
2020-08,4.377