MÃŠS,PRECO_MEDIO_REVENDA
2001-07,1.647
2001-08,1.697
2001-09,1.706
2001-10,1.760
2001-11,1.761
2001-12,1.753
2002-01,1.589
2002-02,1.519
2002-03,1.563
2002-04,1.682
2002-05,1.679
2002-06,1.661
2002-07,1.711
2002-08,1.682
2002-09,1.673
2002-10,1.689
2002-11,1.900
2002-12,1.944
2003-01,2.094
2003-02,2.171
2003-03,2.164
2003-04,2.145
2003-05,2.071
2003-06,1.982
2003-07,1.918
2003-08,1.935
2003-09,1.966
2003-10,1.963
2003-11,1.963
2003-12,1.963
2004-01,1.967
2004-02,1.962
2004-03,1.939
2004-04,1.935
2004-05,1.981
2004-06,2.055
2004-07,2.103
2004-08,2.122
2004-09,2.128
2004-10,2.157
2004-11,2.147
2004-12,2.217
2005-01,2.217
2005-02,2.210
2005-03,2.219
2005-04,2.229
2005-05,2.195
2005-06,2.159
2005-07,2.185
2005-08,2.195
2005-09,2.308
2005-10,2.386
2005-11,2.387
2005-12,2.396
2006-01,2.456
2006-02,2.468
2006-03,2.522
2006-04,2.520
2006-05,2.514
2006-06,2.482
2006-07,2.496
2006-08,2.490
2006-09,2.494
2006-10,2.483
2006-11,2.463
2006-12,2.467
2007-01,2.468
2007-02,2.447
2007-03,2.493
2007-04,2.506
2007-05,2.503
2007-06,2.468
2007-07,2.444
2007-08,2.441
2007-09,2.412
2007-10,2.408
2007-11,2.448
2007-12,2.472
2008-01,2.467
2008-02,2.453
2008-03,2.462
2008-04,2.452
2008-05,2.444
2008-06,2.437
2008-07,2.424
2008-08,2.431
2008-09,2.454
2008-10,2.455
2008-11,2.454
2008-12,2.454
2009-01,2.452
2009-02,2.446
2009-03,2.443
2009-04,2.432
2009-05,2.421
2009-06,2.409
2009-07,2.419
2009-08,2.431
2009-09,2.403
2009-10,2.467
2009-11,2.496
2009-12,2.498
2010-01,2.525
2010-02,2.557
2010-03,2.532
2010-04,2.498
2010-05,2.495
2010-06,2.481
2010-07,2.498
2010-08,2.501
2010-09,2.500
2010-10,2.522
2010-11,2.534
2010-12,2.549
2011-01,2.586
2011-02,2.618
2011-03,2.672
2011-04,2.866
2011-05,2.922
2011-06,2.823
2011-07,2.807
2011-08,2.817
2011-09,2.846
2011-10,2.841
2011-11,2.829
2011-12,2.836
2012-01,2.824
2012-02,2.817
2012-03,2.819
2012-04,2.823
2012-05,2.807
2012-06,2.806
2012-07,2.803
2012-08,2.801
2012-09,2.792
2012-10,2.803
2012-11,2.818
2012-12,2.823
2013-01,2.824
2013-02,2.923
2013-03,2.916
2013-04,2.912
2013-05,2.905
2013-06,2.903
2013-07,2.883
2013-08,2.875
2013-09,2.870
2013-10,2.860
2013-11,2.860
2013-12,2.959
2014-01,2.976
2014-02,2.963
2014-03,2.986
2014-04,2.988
2014-05,2.978
2014-06,2.952
2014-07,2.969
2014-08,2.969
2014-09,2.965
2014-10,2.949
2014-11,2.993
2014-12,3.028
2015-01,3.025
2015-02,3.304
2015-03,3.353
2015-04,3.373
2015-05,3.358
2015-06,3.366
2015-07,3.350
2015-08,3.340
2015-09,3.251
2015-10,3.500
2015-11,3.593
2015-12,3.662
2016-01,3.707
2016-02,3.741
2016-03,3.748
2016-04,3.740
2016-05,3.685
2016-06,3.683
2016-07,3.681
2016-08,3.684
2016-09,3.663
2016-10,3.715
2016-11,3.730
2016-12,3.782
2017-01,3.850
2017-02,3.827
2017-03,3.752
2017-04,3.700
2017-05,3.696
2017-06,3.618
2017-07,3.661
2017-08,3.871
2017-09,3.959
2017-10,3.989
2017-11,4.085
2017-12,4.176
2018-01,4.393
2018-02,4.438
2018-03,4.440
2018-04,4.486
2018-05,4.569
2018-06,4.860
2018-07,4.794
2018-08,4.735
2018-09,4.906
2018-10,4.957
2018-11,4.837
2018-12,4.628
2019-01,4.555
2019-02,4.509
2019-03,4.622
2019-04,4.716
2019-05,4.839
2019-06,4.744
2019-07,4.633
2019-08,4.579
2019-09,4.580
2019-10,4.667
2019-11,4.693
2019-12,4.790
2020-01,4.809
2020-02,4.776
2020-03,4.683
2020-04,4.273
2020-05,4.016
2020-06,4.104
2020-07,4.256
2020-08,4.377